level,code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
ITL3,TLH63,East Suffolk,2013,27.48,,,0.22123893805309736,0.25663716814159293,0.799410029498525,0.23529411764705882,0.5651860404049667,,,,,
ITL3,TLH63,East Suffolk,2014,28.13,,,0.21129860601614087,0.3206162876008804,0.7740278796771827,0.2792207792207792,0.5680847250644983,,,,,
ITL3,TLH63,East Suffolk,2015,28.82,,,0.2288888888888889,0.28888888888888886,0.8014814814814815,0.30597014925373134,0.5613795799217395,,,,,
ITL3,TLH63,East Suffolk,2016,29.65,,,0.26527570789865873,0.2906110283159464,0.8152011922503726,0.2862903225806452,0.5549880689971755,,,,,
ITL3,TLH63,East Suffolk,2017,30.89,,0.0989724175229854,0.2297780959198282,0.31281317108088763,0.7931281317108089,0.2560553633217993,0.573726057101554,,,,,
ITL3,TLH63,East Suffolk,2018,31.91,,0.09587573647562936,0.24183976261127596,0.3241839762611276,0.8137982195845698,0.23107569721115537,0.551751237142518,,,,,
ITL3,TLH63,East Suffolk,2019,33.12,0.1037445290970984,0.09351753453772582,0.1905114899925871,0.33728687916975536,0.8028169014084507,0.2518796992481203,0.5504954050568859,,,,,
ITL3,TLH63,East Suffolk,2020,34.5,0.144315625540751,0.09326974032856386,0.19337848006019565,0.3686982693754703,0.7787810383747178,0.1870748299319728,0.5413838896538239,,,,,
ITL3,TLH63,East Suffolk,2021,36.21,,0.10813594232749743,0.1963470319634703,0.3911719939117199,0.789193302891933,0.2996389891696751,0.5324666904399131,,0.142,,,
ITL3,TLH63,East Suffolk,2022,37.64,0.11853665562436987,0.08825065274151436,0.06707317073170732,0.2942073170731707,0.8300304878048781,0.2600896860986547,0.5309956573297232,,0.27599999999999997,,,
ITL3,TLH63,East Suffolk,2023,38.33,0.11949339207048458,0.08417687799680341,0.07031828275351591,0.306439674315322,0.8008882309400445,0.25650557620817843,0.546742209631728,0.1026,0.45399999999999996,,,
ITL3,TLH64,West Suffolk,2008,27.88,,,,,,,,,,,,
ITL3,TLH64,West Suffolk,2009,28.81,,,,,,,,,,,,
ITL3,TLH64,West Suffolk,2010,29.99,,,,,,,,,,,,
ITL3,TLH64,West Suffolk,2011,31.08,,,,,,,,,,,,
ITL3,TLH64,West Suffolk,2012,31.59,,,0.20894071914480078,0.38095238095238093,0.8639455782312925,0.18571428571428572,0.5988825515073914,,,,,
ITL3,TLH64,West Suffolk,2013,31.85,,,0.2034715525554484,0.343297974927676,0.840887174541948,0.11515151515151516,0.6024236368495045,,,,,
ITL3,TLH64,West Suffolk,2014,32.59,,,0.19296577946768062,0.3051330798479088,0.8507604562737643,0.16560509554140126,0.6020545397315935,,,,,
ITL3,TLH64,West Suffolk,2015,33.69,,,0.23518344308560676,0.31514581373471307,0.8212605832549389,0.2578947368421053,0.6033704740119312,,,,,
ITL3,TLH64,West Suffolk,2016,34.41,0.22797927461139897,,0.18980169971671387,0.3305004721435316,0.830028328611898,0.16666666666666666,0.6002856883729367,,,,,
ITL3,TLH64,West Suffolk,2017,34.16,0.20766932270916336,0.09964664310954063,0.18322082931533268,0.3722275795564127,0.837029893924783,0.28402366863905326,0.5793587387075327,,,,,
ITL3,TLH64,West Suffolk,2018,34.27,0.18737704918032788,0.1057422969187675,0.14895635673624288,0.32732447817836813,0.8225806451612904,0.22459893048128343,0.5882057492368393,,,,,
ITL3,TLH64,West Suffolk,2019,34.65,0.15696759987417427,0.10240549828178694,0.21421800947867298,0.32701421800947866,0.818957345971564,0.31413612565445026,0.5870797927691802,,,,,
ITL3,TLH64,West Suffolk,2020,35.41,,0.09772883688919477,0.18023255813953487,0.3313953488372093,0.8430232558139535,0.3950617283950617,0.5790076078906619,,,,,
ITL3,TLH64,West Suffolk,2021,35.44,0.13027823240589198,0.1037037037037037,0.27873563218390807,0.2835249042145594,0.7787356321839081,0.26406926406926406,0.5773921122928108,,0.131,,,
ITL3,TLH64,West Suffolk,2022,35.61,0.16546652367090547,0.10033003300330033,0.11131725417439703,0.26437847866419295,0.7773654916512059,0.3416666666666667,0.591242156991795,,0.394,,,
ITL3,TLH64,West Suffolk,2023,35.65,0.1539929536112742,0.11844660194174757,0.10420650095602295,0.3824091778202677,0.8336520076481836,0.2988505747126437,0.5621751772249184,0.2507,0.588,,,
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2008,28.47,,,,,,,,,,10564.484094136704,351.52925917521253,3351.2047672231606
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2009,28.86,,,,,,,,,,9525.649496739821,345.7782993021842,3542.350663477793
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2010,29.56,,,,,,,,,,10373.352794016182,564.537507510748,3465.8678471135495
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2011,31.08,,,,,,,,,,10998.254213485161,537.7271112373471,3561.0028302685237
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2012,33.85,,,0.12418300653594772,0.6013071895424836,0.7279411764705882,0.15615615615615616,0.7164619423493981,,,11785.576894234273,486.5237792553762,3449.1080368812363
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2013,36.91,,,0.1419753086419753,0.602880658436214,0.731687242798354,0.13803680981595093,0.7087048200677207,,,11901.570077264241,445.3646040149979,3130.559939577685
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2014,39.53,,,0.11940298507462686,0.6430348258706468,0.7761194029850746,0.14814814814814814,0.7035413330533169,,,14541.12940435055,464.866199275519,3215.097858693298
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2015,40.58,,,0.09845640383813099,0.656654151022111,0.7647058823529411,0.15070921985815602,0.698029965491635,,,14354.990380533704,598.0100618111371,3187.114098751673
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2016,41.02,0.32202071279233724,,0.11288292068820814,0.6105749055812002,0.7603860679815359,0.18213660245183888,0.7005114939149862,,,13996.323352736334,647.8042660940741,3705.0716156651088
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2017,41.18,0.33369376145926377,0.13445816663767612,0.0976545842217484,0.6498933901918976,0.7680170575692964,0.17830882352941177,0.6950804900243353,,,16018.576313719383,564.4640854903007,3862.8512010281447
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2018,42.01,0.3844062445185055,0.13588850174216027,0.12039844088349935,0.6245127760935469,0.7375487223906453,0.14026402640264027,0.6841319316875452,,,12159.470208289053,532.3384599744965,4110.758539647417
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2019,42.57,0.28107124284971396,0.12959809264305178,0.08076422058184976,0.6773773339122883,0.7468519322622666,0.12864493996569468,0.6867103799717921,,,14640.119494961904,563.4189562749881,3786.5519661255194
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2020,43.46,0.317296127014674,0.11979345955249569,0.07217847769028872,0.663167104111986,0.8057742782152231,0.12387387387387387,0.6897404874045422,,,17196.259911329194,527.197101552868,4345.552645573062
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2021,44.99,0.26065071157278175,0.12521648770349844,0.06794425087108014,0.6968641114982579,0.7439024390243902,0.1870748299319728,0.7009060492832198,,0.6407238320520402,,,
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2022,46.98,0.2835266252858543,0.109504496561453,,0.6702679343128781,0.7532411408815903,0.09106830122591944,0.6972021524685295,,0.7609599954256724,,,
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2023,48.45,0.3128359094110234,0.11269383339343671,,0.7118205349439172,0.7234685073339086,0.1294851794071763,0.6947691496121522,0.999957640097459,0.8266059266637614,,,
ITL3,TLI34,Wandsworth,2008,25.68,,,,,,,,,,8852.009781316032,168.5601997812508,2126.536576492621
ITL3,TLI34,Wandsworth,2009,26.44,,,,,,,,,,6709.174598918532,170.6241740562695,1825.7113490254662
ITL3,TLI34,Wandsworth,2010,27.3,,,,,,,,,,7335.9413893926885,408.4033815736889,1829.8073076389785
ITL3,TLI34,Wandsworth,2011,28.45,,,,,,,,,,9156.064762223377,253.57758032021158,1756.0713261052995
ITL3,TLI34,Wandsworth,2012,29.68,,,0.07337434094903339,0.6542179261862917,0.7983304042179262,0.10457516339869281,0.7288751112847545,,,9531.67767979155,174.5814159081348,1450.2727621511485
ITL3,TLI34,Wandsworth,2013,31.25,,,0.11710526315789474,0.6328947368421053,0.8210526315789474,0.13480392156862744,0.7196742527066696,,,10327.455096523547,176.8494057307313,1690.0515208987488
ITL3,TLI34,Wandsworth,2014,32.69,,,0.08511567001309472,0.695329550414666,0.8271497162811,0.11363636363636363,0.716165777841687,,,17657.153369204916,200.69207257339625,1850.4989632870506
ITL3,TLI34,Wandsworth,2015,33.41,,,0.07354838709677419,0.6559139784946236,0.8313978494623656,0.09183673469387756,0.7205772055861005,,,22612.80832041836,230.3848834916931,1621.3722917466484
ITL3,TLI34,Wandsworth,2016,33.44,0.13441295546558704,,0.07533362031855359,0.6995264743865691,0.8299612569952648,0.1670886075949367,0.7116750864702079,,,21632.72618246084,174.18459800048575,1639.4415701169216
ITL3,TLI34,Wandsworth,2017,33.34,0.15105140186915889,0.14792299898682879,0.06987847222222222,0.7105034722222222,0.8146701388888888,0.1405152224824356,0.6992561298722583,,,20183.612419470355,302.57280254809626,2045.4561202530604
ITL3,TLI34,Wandsworth,2018,33.28,0.1590001141422212,0.14556637621732446,0.07264957264957266,0.7051282051282052,0.8371794871794872,0.14173228346456693,0.7068013012393187,,,31299.050485544412,255.89009914428917,2142.0204325720633
ITL3,TLI34,Wandsworth,2019,32.92,0.17706557563359474,0.14402870322911326,0.07463952502120441,0.7137404580152672,0.8388464800678541,0.17894736842105263,0.7048105261270093,,,19593.11652342155,244.4936009788028,2029.2686881700859
ITL3,TLI34,Wandsworth,2020,32.73,0.15840685002594707,0.12036553524804178,0.05358649789029536,0.7270042194092827,0.8704641350210971,0.1270358306188925,0.7102655853847122,,,15745.827123033736,234.06562463754892,2082.6152747664532
ITL3,TLI34,Wandsworth,2021,33.21,0.14592019058963668,0.13100671140939596,0.036564625850340135,0.7023809523809523,0.8477891156462585,0.16759776536312848,0.7161365165682689,,0.6759999999999999,,,
ITL3,TLI34,Wandsworth,2022,34.43,0.13564770170363227,0.11211778029445074,,0.6995244271508863,0.9118028534370947,0.08823529411764706,0.7022753356529976,,0.7809999999999999,,,
ITL3,TLI34,Wandsworth,2023,35.39,0.1342158662672722,0.11782032400589101,,0.7761763459092836,0.8791860958033065,0.10526315789473684,0.7117083413786445,0.9991,0.82,,,
ITL3,TLI35,Westminster and City of London,2008,51.29,,,,,,,,,,,,
ITL3,TLI35,Westminster and City of London,2009,52.2,,,,,,,,,,,,
ITL3,TLI35,Westminster and City of London,2010,52.57,,,,,,,,,,,,
ITL3,TLI35,Westminster and City of London,2011,52.55,,,,,,,,,,,,
ITL3,TLI35,Westminster and City of London,2012,52.49,,,,0.6167773083886542,0.7048883524441762,,0.7297855566761945,,,,,
ITL3,TLI35,Westminster and City of London,2013,52.7,,,,0.6239316239316239,0.71001221001221,,0.7330695834303003,,,,,
ITL3,TLI35,Westminster and City of London,2014,53.4,,,,0.6570570570570571,,,0.7503109396686916,,,,,
ITL3,TLI35,Westminster and City of London,2015,54.31,,,,0.6299303944315545,0.7192575406032483,,0.771212826110296,,,,,
ITL3,TLI35,Westminster and City of London,2016,55.49,0.44216749644381226,,,0.6190201729106628,0.7268011527377521,,0.7853166161227538,,,,,
ITL3,TLI35,Westminster and City of London,2017,56.71,0.5089419409521119,0.14183969097054563,,0.6370875995449374,0.6996587030716723,,0.8051810054228346,,,,,
ITL3,TLI35,Westminster and City of London,2018,58.6,0.5501516282384901,0.13884758364312266,,0.6805555555555556,0.7216666666666667,,0.8255631028330573,,,,,
ITL3,TLI35,Westminster and City of London,2019,61.02,0.5686942406503234,0.1261903299133747,,0.6707249584947427,0.7559490868843387,,0.8320287319274334,,,,,
ITL3,TLI35,Westminster and City of London,2020,64.28,0.5766823414950544,0.10309278350515463,,0.6722129783693843,0.7720465890183028,,0.8427005678764226,,,,,
ITL3,TLI35,Westminster and City of London,2021,67.39,0.5975122608335617,0.11548143486469478,,0.7243093922651934,0.8038674033149171,,0.8440274565395807,,0.5821919238008327,,,
ITL3,TLI35,Westminster and City of London,2022,69.92,0.6589967617125073,0.10497099731803156,,0.71,0.7533333333333333,,0.813290981958495,,0.6848221063703297,,,
ITL3,TLI35,Westminster and City of London,2023,71.21,0.621804153217854,0.10397305557288093,,,,,,1.0,0.7136353631694791,,,
ITL3,TLI36,Camden,2008,36.12,,,,,,,,,,,,
ITL3,TLI36,Camden,2009,36.67,,,,,,,,,,,,
ITL3,TLI36,Camden,2010,36.88,,,,,,,,,,,,
ITL3,TLI36,Camden,2011,37.12,,,,,,,,,,,,
ITL3,TLI36,Camden,2012,37.48,,,0.12083071113908118,0.5940843297671492,0.7067337948395217,0.15665236051502146,0.7234335092216146,,,,,
ITL3,TLI36,Camden,2013,39.12,,,0.15045871559633028,0.5981651376146789,0.6862385321100918,0.19103313840155944,0.7386558722012396,,,,,
ITL3,TLI36,Camden,2014,41.93,,,0.11543062200956938,0.6058612440191388,0.7188995215311005,0.21063829787234042,0.7562360071462494,,,,,
ITL3,TLI36,Camden,2015,45.92,,,0.11886901327178304,0.6087709174841316,0.7212925562608193,0.21739130434782608,0.7840493684172427,,,,,
ITL3,TLI36,Camden,2016,49.38,0.2947101755232523,,0.12254335260115606,0.5861271676300578,0.7317919075144509,0.15517241379310345,0.7827204285507456,,,,,
ITL3,TLI36,Camden,2017,51.88,0.3112699699004399,0.145079185520362,0.14821124361158433,0.599091425326519,0.7109596819988643,0.21611001964636542,0.8047232364405734,,,,,
ITL3,TLI36,Camden,2018,52.87,0.2827934371055953,0.16087978973578643,0.12767123287671234,0.6378082191780822,0.7561643835616438,0.23146067415730337,0.837482504646307,,,,,
ITL3,TLI36,Camden,2019,52.7,0.33328693909364215,0.1455137776571196,0.1320043103448276,0.6088362068965517,0.7419181034482759,0.16701461377870563,0.8547638346474099,,,,,
ITL3,TLI36,Camden,2020,52.71,0.3603375245972718,0.13596374300186617,0.1757770632368703,0.6580921757770632,0.7347266881028939,0.2202020202020202,0.8688445205989719,,,,,
